source,variable,word,n,m,sd
gpt35,aoa,affair,10,4.9,0.508
gpt35,aoa,aisle,10,4.34,0.4304
gpt35,aoa,anchor,10,4.61,0.4149
gpt35,aoa,anger,10,4.19,0.7069
gpt35,aoa,ant,9,3.3,0.097778
gpt35,aoa,applause,10,4.47,0.6141
gpt35,aoa,apple,10,2.95,0.5965
gpt35,aoa,apron,10,4.33,0.3261
gpt35,aoa,arson,10,5.91,0.1909
gpt35,aoa,art,10,3.64,0.1884
gpt35,aoa,artist,10,4.42,0.5476
gpt35,aoa,aspect,10,4.61,0.4089
gpt35,aoa,asthma,10,5.55,0.4705
gpt35,aoa,attempt,10,4.76,0.3324
gpt35,aoa,author,10,5.04,0.7744
gpt35,aoa,baby,10,2.27,0.5721
gpt35,aoa,balloon,10,3.59,0.4309
gpt35,aoa,ban,10,4.28,0.4916
gpt35,aoa,bandage,10,4.46,0.8564
gpt35,aoa,basket,10,3.91,0.4489
gpt35,aoa,battle,10,4.33,0.4201
gpt35,aoa,bead,10,3.75,0.5185
gpt35,aoa,beer,10,4.69,0.6589
gpt35,aoa,beggar,10,4.53,0.3541
gpt35,aoa,belief,10,4.45,0.2725
gpt35,aoa,bitch,10,4.84,0.2944
gpt35,aoa,blame,10,4.34,0.3704
gpt35,aoa,bliss,10,4.68,0.1876
gpt35,aoa,blister,10,4.67,0.3081
gpt35,aoa,blood,10,4.11,0.6009
gpt35,aoa,blouse,10,4.39,0.2389
gpt35,aoa,boast,10,4.67,0.1481
gpt35,aoa,bondage,10,5.14,0.5184
gpt35,aoa,bonnet,10,4.2,0.352
gpt35,aoa,bounce,10,3.87,0.1161
gpt35,aoa,bowel,10,5.14,0.5264
gpt35,aoa,bowl,10,3.78,0.2556
gpt35,aoa,bracket,10,4.81,0.4189
gpt35,aoa,breakfast,10,3.87,0.3321
gpt35,aoa,breast,10,4.3,0.466
gpt35,aoa,bulge,10,4.83,1.9921
gpt35,aoa,button,10,3.76,0.6204
gpt35,aoa,camp,10,3.97,0.3661
gpt35,aoa,cancer,10,5.28,0.6876
gpt35,aoa,candle,10,3.95,0.0725
gpt35,aoa,candy,10,3.44,0.1764
