source,variable,word,n,m,sd
gpt45,lexdec,affair,10,589.7,17.644955
gpt45,lexdec,aisle,10,593.4,17.964162
gpt45,lexdec,anchor,10,579.8,23.232162
gpt45,lexdec,anger,10,570.7,29.420514
gpt45,lexdec,ant,10,553.8,40.007777
gpt45,lexdec,applause,10,605.7,22.281283
gpt45,lexdec,apple,10,549.4,17.721299
gpt45,lexdec,apron,10,595.7,26.31455
gpt45,lexdec,arson,10,639.6,26.162739
gpt45,lexdec,art,10,537.3,13.872835
gpt45,lexdec,artist,10,568.4,19.642358
gpt45,lexdec,aspect,10,603,31.400637
gpt45,lexdec,asthma,10,632.5,39.336864
gpt45,lexdec,attempt,10,589.5,28.628851
gpt45,lexdec,author,10,564.1,19.564423
gpt45,lexdec,baby,10,534.7,25.863101
gpt45,lexdec,balloon,10,578.6,14.997778
gpt45,lexdec,ban,10,589.7,27.860964
gpt45,lexdec,bandage,10,583.2,21.31666
gpt45,lexdec,basket,10,579.7,31.770182
gpt45,lexdec,battle,10,570.2,23.112286
gpt45,lexdec,bead,10,595.5,24.194811
gpt45,lexdec,beer,10,568.2,23.408451
gpt45,lexdec,beggar,10,609.7,28.460694
gpt45,lexdec,belief,10,563.6,15.7917
gpt45,lexdec,bitch,10,584,16.865481
gpt45,lexdec,blame,10,583.6,22.584164
gpt45,lexdec,bliss,10,610.5,18.142951
gpt45,lexdec,blister,10,606.3,27.475444
gpt45,lexdec,blood,10,546.4,22.736168
gpt45,lexdec,blouse,10,602.2,20.916766
gpt45,lexdec,boast,10,603.6,24.838143
gpt45,lexdec,bondage,10,633.4,25.799225
gpt45,lexdec,bonnet,10,606.6,23.400855
gpt45,lexdec,bounce,10,598.6,18.04439
gpt45,lexdec,bowel,10,623.9,27.834631
gpt45,lexdec,bowl,10,561,28.740216
gpt45,lexdec,bracket,10,619.8,17.905927
gpt45,lexdec,breakfast,10,563.9,24.941933
gpt45,lexdec,breast,10,563.9,17.123408
gpt45,lexdec,bulge,10,620,28.288199
gpt45,lexdec,button,10,561.2,19.135772
gpt45,lexdec,camp,10,554.9,21.860416
gpt45,lexdec,cancer,10,560.5,22.877694
gpt45,lexdec,candle,10,582.9,18.627638
gpt45,lexdec,candy,10,561.5,15.600926
gpt45,lexdec,canoe,10,603.2,17.183972
gpt45,lexdec,carcass,10,658.5,38.549391
gpt45,lexdec,caress,10,631.8,36.260784
gpt45,lexdec,carpet,10,583.6,17.758879
gpt45,lexdec,carriage,10,594.5,14.698828
gpt45,lexdec,castle,10,572,28.828998
gpt45,lexdec,cattle,10,601.7,13.840761
gpt45,lexdec,caution,10,583.7,18.744184
gpt45,lexdec,cease,10,607.6,24.568272
gpt45,lexdec,ceiling,10,572.1,29.099255
gpt45,lexdec,chauffeur,10,649.3,35.715076
gpt45,lexdec,chest,10,549.8,22.314918
gpt45,lexdec,chew,10,566.8,29.634064
gpt45,lexdec,child,10,530.2,24.174367
gpt45,lexdec,chord,10,601.5,19.506409
gpt45,lexdec,circuit,10,600.6,21.562313
gpt45,lexdec,city,10,543.9,20.803045
gpt45,lexdec,class,10,537.6,31.419032
gpt45,lexdec,clergy,10,622.5,22.242352
gpt45,lexdec,cloak,10,604.8,22.294992
gpt45,lexdec,closure,10,600.4,26.458353
gpt45,lexdec,clover,10,613.1,17.400192
gpt45,lexdec,coffin,10,598.9,16.960411
gpt45,lexdec,column,10,571.8,21.033307
gpt45,lexdec,comb,10,581.1,23.120217
gpt45,lexdec,compass,10,601.3,23.702086
gpt45,lexdec,complex,10,570.4,27.076845
gpt45,lexdec,concept,10,576,21.842873
gpt45,lexdec,consent,10,597.9,26.223187
gpt45,lexdec,console,10,593.7,20.693799
gpt45,lexdec,contempt,10,626,21.776644
gpt45,lexdec,context,10,606.7,26.170594
gpt45,lexdec,contract,10,579.9,24.632634
gpt45,lexdec,costume,10,567.1,17.064909
gpt45,lexdec,cottage,10,588.6,21.297887
gpt45,lexdec,cotton,10,576.2,21.918029
gpt45,lexdec,couch,10,570.2,25.005777
gpt45,lexdec,cough,10,582.3,16.248419
gpt45,lexdec,county,10,578.4,20.413503
gpt45,lexdec,courage,10,574.1,29.748763
gpt45,lexdec,crab,10,591.6,19.449079
gpt45,lexdec,cricket,10,582.4,25.704301
gpt45,lexdec,crisis,10,579.2,31.89845
gpt45,lexdec,crude,10,612.2,13.701581
gpt45,lexdec,crystal,10,578.5,21.603755
gpt45,lexdec,cuddle,10,596.1,26.970972
gpt45,lexdec,culture,10,579.6,25.721586
gpt45,lexdec,cure,10,589.9,20.722773
gpt45,lexdec,curtain,10,587.5,17.802934
gpt45,lexdec,cushion,10,597.6,16.01527
gpt45,lexdec,dance,10,543.9,17.110426
gpt45,lexdec,dandruff,10,642.6,20.100857
gpt45,lexdec,dare,10,567.1,31.694549
gpt45,lexdec,date,10,537.5,24.820466
gpt45,lexdec,delight,10,585.1,22.595231
gpt45,lexdec,desert,10,569.1,29.444675
gpt45,lexdec,despair,10,620.1,31.092872
gpt45,lexdec,dessert,10,588,23.986107
gpt45,lexdec,device,10,578.2,19.937681
gpt45,lexdec,dinner,10,548.9,21.707398
gpt45,lexdec,disgust,10,593.5,28.123735
gpt45,lexdec,doctor,10,543.8,24.728751
gpt45,lexdec,doctrine,10,620.5,24.989998
gpt45,lexdec,donkey,10,590.8,23.5457
gpt45,lexdec,doom,10,595,34.065297
gpt45,lexdec,doubt,10,587.7,19.183616
gpt45,lexdec,dread,10,605.4,30.909186
gpt45,lexdec,duty,10,565.8,24.566463
gpt45,lexdec,ease,10,556.3,29.215863
gpt45,lexdec,employ,10,596.8,22.50827
gpt45,lexdec,escort,10,595.4,25.712945
gpt45,lexdec,essence,10,621.6,19.951051
gpt45,lexdec,excuse,10,574.6,27.382882
gpt45,lexdec,faith,10,570.2,21.301017
gpt45,lexdec,fame,10,568.7,30.984046
gpt45,lexdec,farewell,10,588.5,16.919745
gpt45,lexdec,fault,10,565.8,17.843766
gpt45,lexdec,feat,10,619.7,20.281628
gpt45,lexdec,fiction,10,567.3,25.991665
gpt45,lexdec,figment,10,637.6,15.76353
gpt45,lexdec,fire,10,535.2,27.736058
gpt45,lexdec,flea,10,593.9,17.400192
gpt45,lexdec,fleet,10,606.2,6.160808
gpt45,lexdec,flourish,10,620.5,22.843672
gpt45,lexdec,food,10,524.5,20.326502
gpt45,lexdec,forehead,10,586.2,34.880112
gpt45,lexdec,forge,10,601.6,16.807406
gpt45,lexdec,fortress,10,618.7,27.821055
gpt45,lexdec,fraud,10,610.8,23.980548
gpt45,lexdec,freedom,10,557.7,16.773325
gpt45,lexdec,function,10,576,32.547401
gpt45,lexdec,fuss,10,610.2,21.882515
gpt45,lexdec,gain,10,567.7,23.031621
gpt45,lexdec,game,10,547.3,18.324543
gpt45,lexdec,garbage,10,587.2,22.523075
gpt45,lexdec,giraffe,10,624.9,20.146409
gpt45,lexdec,gist,10,608.2,15.418603
gpt45,lexdec,glacier,10,622.6,28.964346
gpt45,lexdec,glee,10,598.9,26.805679
gpt45,lexdec,gloom,10,610.2,31.590435
gpt45,lexdec,goose,10,576.8,17.389652
gpt45,lexdec,greed,10,585.7,22.060775
gpt45,lexdec,grind,10,595.3,21.50478
gpt45,lexdec,guilt,10,564.2,23.564569
gpt45,lexdec,guitar,10,562.9,24.834787
gpt45,lexdec,hall,10,552.5,27.536844
gpt45,lexdec,ham,10,563.2,27.490604
gpt45,lexdec,hammock,10,616.7,19.218336
gpt45,lexdec,hand,10,531,17.694946
