source,variable,word,n,m,sd
gpt4o,aoa,affair,10,5.74,0.0684
gpt4o,aoa,aisle,10,5.38,0.1776
gpt4o,aoa,anchor,10,4.92,0.3336
gpt4o,aoa,anger,10,3.3,0.06
gpt4o,aoa,ant,10,2.51,0.0509
gpt4o,aoa,applause,10,4.47,0.4441
gpt4o,aoa,apple,10,1.85,0.0525
gpt4o,aoa,apron,10,4.03,0.3081
gpt4o,aoa,arson,10,6.43,0.0541
gpt4o,aoa,art,10,3.17,0.4501
gpt4o,aoa,artist,14,4.678571,1.527398
gpt4o,aoa,aspect,10,5.57,0.3041
gpt4o,aoa,asthma,10,5,0.218
gpt4o,aoa,attempt,10,4.23,0.3561
gpt4o,aoa,author,9,4.955556,0.27358
gpt4o,aoa,baby,10,1.43,0.1041
gpt4o,aoa,balloon,10,2.49,0.1509
gpt4o,aoa,ban,10,5.21,0.1169
gpt4o,aoa,bandage,10,3.49,0.1009
gpt4o,aoa,basket,10,2.98,0.1536
gpt4o,aoa,battle,10,4.1,0.14
gpt4o,aoa,bead,10,3.35,0.1025
gpt4o,aoa,beer,10,4.06,0.6864
gpt4o,aoa,beggar,10,4.91,0.3229
gpt4o,aoa,belief,10,3.96,0.1844
gpt4o,aoa,bitch,10,6.2,0.26
gpt4o,aoa,blame,10,3.86,0.2664
gpt4o,aoa,bliss,10,5.35,0.1765
gpt4o,aoa,blister,10,4.71,0.2489
gpt4o,aoa,blood,10,3.03,0.2281
gpt4o,aoa,blouse,10,3.94,0.4224
gpt4o,aoa,boast,10,5.11,0.2889
gpt4o,aoa,bondage,10,6.53,0.1081
gpt4o,aoa,bonnet,10,4.5,0.6
gpt4o,aoa,bounce,10,3.22,0.1416
gpt4o,aoa,bowel,10,5.85,0.1025
gpt4o,aoa,bowl,10,2.46,0.1144
gpt4o,aoa,bracket,10,5.25,0.2445
gpt4o,aoa,breakfast,10,2.24,0.1584
gpt4o,aoa,breast,10,3.75,0.8625
gpt4o,aoa,bulge,10,5.3,0.262
gpt4o,aoa,button,10,2.48,0.1036
gpt4o,aoa,camp,10,3.25,0.2625
gpt4o,aoa,cancer,10,5.43,0.1541
gpt4o,aoa,candle,10,3.01,0.3109
gpt4o,aoa,candy,10,2.14,0.1464
gpt4o,aoa,canoe,10,4.43,0.4241
gpt4o,aoa,carcass,10,5.9,0.29
gpt4o,aoa,caress,10,5.71,0.2189
gpt4o,aoa,carpet,10,3.18,0.1516
gpt4o,aoa,carriage,10,4.8,0.26
gpt4o,aoa,castle,10,3.62,0.2596
gpt4o,aoa,cattle,10,5.04,0.4244
gpt4o,aoa,caution,10,4.43,0.2541
gpt4o,aoa,cease,10,5.62,0.1176
gpt4o,aoa,ceiling,10,3.43,0.1041
gpt4o,aoa,chauffeur,10,6.27,0.1221
gpt4o,aoa,chest,10,3.17,0.2661
gpt4o,aoa,chew,10,2.15,0.1025
gpt4o,aoa,child,11,2.136364,0.18595
gpt4o,aoa,chord,10,5.39,0.3389
gpt4o,aoa,circuit,10,5.71,0.1989
gpt4o,aoa,city,10,2.84,0.3004
gpt4o,aoa,class,9,2.933333,0.128889
gpt4o,aoa,clergy,10,6,0.1
gpt4o,aoa,cloak,10,4.97,0.3581
gpt4o,aoa,closure,10,5.4,0.04
gpt4o,aoa,clover,10,5.05,0.5225
gpt4o,aoa,coffin,10,5.47,0.1241
gpt4o,aoa,column,11,4.527273,0.467438
gpt4o,aoa,comb,10,2.87,0.0881
gpt4o,aoa,compass,10,4.36,0.0564
gpt4o,aoa,complex,10,5.55,0.1225
gpt4o,aoa,concept,10,5.23,0.9061
gpt4o,aoa,consent,11,5.418182,0.270579
gpt4o,aoa,console,10,5.4,0.092
gpt4o,aoa,contempt,10,5.98,0.1036
gpt4o,aoa,context,10,5.75,0.2125
gpt4o,aoa,contract,10,5.4,0.19
gpt4o,aoa,costume,10,3.31,0.0429
gpt4o,aoa,cottage,10,4.43,0.0941
gpt4o,aoa,cotton,9,3.677778,0.168395
gpt4o,aoa,couch,10,3.01,0.1229
gpt4o,aoa,cough,10,2.65,0.1525
gpt4o,aoa,county,10,5.29,0.1669
gpt4o,aoa,courage,12,4.266667,0.098889
gpt4o,aoa,crab,11,3.345455,0.438843
gpt4o,aoa,cricket,10,4.04,0.3144
gpt4o,aoa,crisis,10,5.34,0.1004
gpt4o,aoa,crude,10,5.25,0.2625
gpt4o,aoa,crystal,10,4.34,0.1044
gpt4o,aoa,cuddle,10,2.66,0.2744
gpt4o,aoa,culture,10,5.14,0.1204
gpt4o,aoa,cure,10,4.5,0.818
gpt4o,aoa,curtain,10,3.23,0.4861
gpt4o,aoa,cushion,10,3.5,0.05
gpt4o,aoa,dance,10,2.51,0.1009
gpt4o,aoa,dandruff,10,5.31,0.2629
gpt4o,aoa,dare,10,3.58,0.1276
gpt4o,aoa,date,10,3.75,0.1625
gpt4o,aoa,delight,10,4.17,0.2081
gpt4o,aoa,desert,10,3.97,0.3281
gpt4o,aoa,despair,10,5.43,0.9841
gpt4o,aoa,dessert,10,2.95,0.1305
gpt4o,aoa,device,10,5.38,0.1696
gpt4o,aoa,dinner,10,2.3,0.06
gpt4o,aoa,disgust,10,4.45,0.3725
gpt4o,aoa,doctor,10,2.7,0.16
gpt4o,aoa,doctrine,15,6.173333,0.283289
gpt4o,aoa,donkey,10,3.85,0.3525
gpt4o,aoa,doom,10,5.29,0.8769
gpt4o,aoa,doubt,9,4.244444,0.055802
gpt4o,aoa,dread,10,5.23,0.2061
gpt4o,aoa,duty,10,4.63,0.1921
gpt4o,aoa,ease,10,4.14,0.3344
gpt4o,aoa,employ,10,5.7,0.16
gpt4o,aoa,escort,10,6.04,0.1144
gpt4o,aoa,essence,10,5.95,0.0725
gpt4o,aoa,excuse,10,3.15,0.0525
gpt4o,aoa,faith,10,4.17,0.1501
gpt4o,aoa,fame,9,4.422222,0.137284
gpt4o,aoa,farewell,10,4.53,0.2081
gpt4o,aoa,fault,10,4.14,0.2564
gpt4o,aoa,feat,10,5.4,0.19
gpt4o,aoa,fiction,10,4.8,0.26
gpt4o,aoa,figment,11,5.772727,0.532893
gpt4o,aoa,fire,10,2.23,0.1561
gpt4o,aoa,flea,10,4.25,1.1125
gpt4o,aoa,fleet,10,5.27,0.2061
gpt4o,aoa,flourish,10,5.53,0.1541
gpt4o,aoa,food,10,1.49,0.0409
gpt4o,aoa,forehead,10,3.09,0.4569
gpt4o,aoa,forge,10,5.75,0.2645
gpt4o,aoa,fortress,10,5.41,0.1769
gpt4o,aoa,fraud,10,6.08,0.0776
gpt4o,aoa,freedom,10,4.14,0.4844
gpt4o,aoa,function,10,5.28,0.1756
gpt4o,aoa,fuss,10,3.7,0.16
gpt4o,aoa,gain,10,3.95,0.7225
gpt4o,aoa,game,10,1.94,0.1224
gpt4o,aoa,garbage,10,3,0.2
gpt4o,aoa,giraffe,10,3.6,0.258
gpt4o,aoa,gist,10,5.72,0.1636
gpt4o,aoa,glacier,10,5.61,0.0889
gpt4o,aoa,glee,10,4.71,0.4209
gpt4o,aoa,gloom,9,5.322222,0.108395
gpt4o,aoa,goose,10,2.94,0.1624
gpt4o,aoa,greed,10,4.88,0.3656
gpt4o,aoa,grind,10,4.3,0.31
gpt4o,aoa,guilt,10,4.72,0.2376
gpt4o,aoa,guitar,10,4.05,0.0725
gpt4o,aoa,hall,10,2.85,0.1525
gpt4o,aoa,ham,10,2.85,0.1025
gpt4o,aoa,hammock,11,5.227273,0.789256
gpt4o,aoa,hand,10,1.48,0.0336
gpt4o,aoa,handle,10,3.2,0.06
gpt4o,aoa,harvest,10,5.06,0.3824
gpt4o,aoa,hate,10,3.27,0.0521
gpt4o,aoa,head,10,1.81,0.0969
gpt4o,aoa,health,10,3.92,0.2976
gpt4o,aoa,heaven,10,3.78,0.1556
gpt4o,aoa,hit,10,2.4,0.19
gpt4o,aoa,honey,10,2.8,0.06
gpt4o,aoa,hope,10,3.03,0.2281
gpt4o,aoa,hostage,10,6.4,0.14
gpt4o,aoa,hostess,10,5.14,0.1364
gpt4o,aoa,hurdle,14,5.257143,0.69102
gpt4o,aoa,husband,10,3.6,0.338
gpt4o,aoa,impress,11,4.590909,0.491736
gpt4o,aoa,incest,12,6.5,0.625
gpt4o,aoa,island,10,3.61,0.1309
gpt4o,aoa,issue,10,4.71,0.2649
gpt4o,aoa,item,10,3.95,0.2725
gpt4o,aoa,jacket,10,2.9,0.19
