source,variable,word,n,m,sd
gpt45,aoa,affair,10,5.41,0.35103
gpt45,aoa,aisle,10,4.94,0.494862
gpt45,aoa,anchor,10,4.47,0.305687
gpt45,aoa,anger,10,3.12,0.181353
gpt45,aoa,ant,10,2.41,0.288483
gpt45,aoa,applause,10,4.2,0.355903
gpt45,aoa,apple,10,1.7,0.188562
gpt45,aoa,apron,10,3.75,0.271825
gpt45,aoa,arson,10,6.38,0.252982
gpt45,aoa,art,10,3.32,0.426354
gpt45,aoa,artist,10,3.84,0.245855
gpt45,aoa,aspect,10,5.78,0.335989
gpt45,aoa,asthma,10,5.11,0.440833
gpt45,aoa,attempt,10,4.47,0.383116
gpt45,aoa,author,10,4.7,0.516398
gpt45,aoa,baby,10,1.31,0.144914
gpt45,aoa,balloon,10,2.25,0.171594
gpt45,aoa,ban,10,5.41,0.422821
gpt45,aoa,bandage,10,3.31,0.344642
gpt45,aoa,basket,10,2.66,0.142984
gpt45,aoa,battle,10,3.94,0.189737
gpt45,aoa,bead,10,3.2,0.359011
gpt45,aoa,beer,10,3.61,0.438305
gpt45,aoa,beggar,10,4.93,0.442342
gpt45,aoa,belief,10,4.92,0.33928
gpt45,aoa,bitch,10,5.06,0.562139
gpt45,aoa,blame,10,4.26,0.359629
gpt45,aoa,bliss,10,5.73,0.249666
gpt45,aoa,blister,10,4.72,0.229976
gpt45,aoa,blood,10,2.59,0.272641
gpt45,aoa,blouse,10,3.88,0.39101
gpt45,aoa,boast,10,5.13,0.3093
gpt45,aoa,bondage,10,6.33,0.211082
gpt45,aoa,bonnet,10,4.45,0.383695
gpt45,aoa,bounce,10,2.9,0.326599
gpt45,aoa,bowel,10,5.06,0.605897
gpt45,aoa,bowl,10,2.2,0.169967
gpt45,aoa,bracket,10,5.54,0.368782
gpt45,aoa,breakfast,10,2.21,0.242441
gpt45,aoa,breast,10,3.1,0.326599
gpt45,aoa,bulge,10,5.23,0.3335
gpt45,aoa,button,10,2.44,0.320416
gpt45,aoa,camp,10,3.23,0.3093
gpt45,aoa,cancer,10,4.69,0.55267
gpt45,aoa,candle,10,3.02,0.220101
gpt45,aoa,candy,10,2.04,0.250333
gpt45,aoa,canoe,10,4.27,0.510011
gpt45,aoa,carcass,10,5.93,0.323351
gpt45,aoa,caress,10,5.09,0.384274
gpt45,aoa,carpet,10,3.06,0.254733
gpt45,aoa,carriage,10,4.4,0.531246
gpt45,aoa,castle,10,3.12,0.335989
gpt45,aoa,cattle,10,4.41,0.292309
gpt45,aoa,caution,10,4.77,0.442342
gpt45,aoa,cease,10,5.58,0.39101
gpt45,aoa,ceiling,10,2.95,0.279881
gpt45,aoa,chauffeur,10,6.16,0.267499
gpt45,aoa,chest,10,2.84,0.291357
gpt45,aoa,chew,10,2.27,0.182878
gpt45,aoa,child,10,1.8,0.274874
gpt45,aoa,chord,10,5.36,0.21187
gpt45,aoa,circuit,10,5.75,0.306413
gpt45,aoa,city,10,2.59,0.310734
gpt45,aoa,class,10,3.07,0.235938
gpt45,aoa,clergy,10,6.15,0.368932
gpt45,aoa,cloak,10,4.64,0.245855
gpt45,aoa,closure,10,5.58,0.477959
gpt45,aoa,clover,10,4.39,0.328126
