source,variable,word,n,m,sd
gpt45,aoa,affair,10,5.41,0.1109
gpt45,aoa,aisle,10,4.94,0.2204
gpt45,aoa,anchor,10,4.47,0.0841
gpt45,aoa,anger,10,3.12,0.0296
gpt45,aoa,ant,10,2.41,0.0749
gpt45,aoa,applause,10,4.2,0.114
gpt45,aoa,apple,10,1.7,0.032
gpt45,aoa,apron,10,3.75,0.0665
gpt45,aoa,arson,10,6.38,0.0576
gpt45,aoa,art,10,3.32,0.1636
gpt45,aoa,artist,10,3.84,0.0544
gpt45,aoa,aspect,10,5.78,0.1016
gpt45,aoa,asthma,10,5.11,0.1749
gpt45,aoa,attempt,10,4.47,0.1321
gpt45,aoa,author,10,4.7,0.24
gpt45,aoa,baby,10,1.31,0.0189
gpt45,aoa,balloon,10,2.25,0.0265
gpt45,aoa,ban,10,5.41,0.1609
gpt45,aoa,bandage,10,3.31,0.1069
gpt45,aoa,basket,10,2.66,0.0184
gpt45,aoa,battle,10,3.94,0.0324
gpt45,aoa,bead,10,3.2,0.116
gpt45,aoa,beer,10,3.61,0.1729
gpt45,aoa,beggar,10,4.93,0.1761
gpt45,aoa,belief,10,4.92,0.1036
gpt45,aoa,bitch,10,5.06,0.2844
gpt45,aoa,blame,10,4.26,0.1164
gpt45,aoa,bliss,10,5.73,0.0561
gpt45,aoa,blister,10,4.72,0.0476
gpt45,aoa,blood,10,2.59,0.0669
gpt45,aoa,blouse,10,3.88,0.1376
gpt45,aoa,boast,10,5.13,0.0861
gpt45,aoa,bondage,10,6.33,0.0401
gpt45,aoa,bonnet,10,4.45,0.1325
gpt45,aoa,bounce,10,2.9,0.096
gpt45,aoa,bowel,10,5.06,0.3304
gpt45,aoa,bowl,10,2.2,0.026
gpt45,aoa,bracket,10,5.54,0.1224
gpt45,aoa,breakfast,10,2.21,0.0529
gpt45,aoa,breast,10,3.1,0.096
gpt45,aoa,bulge,10,5.23,0.1001
gpt45,aoa,button,10,2.44,0.0924
gpt45,aoa,camp,10,3.23,0.0861
gpt45,aoa,cancer,10,4.69,0.2749
gpt45,aoa,candle,10,3.02,0.0436
gpt45,aoa,candy,10,2.04,0.0564
gpt45,aoa,canoe,10,4.27,0.2341
gpt45,aoa,carcass,10,5.93,0.0941
gpt45,aoa,caress,10,5.09,0.1329
gpt45,aoa,carpet,10,3.06,0.0584
gpt45,aoa,carriage,10,4.4,0.254
gpt45,aoa,castle,10,3.12,0.1016
gpt45,aoa,cattle,10,4.41,0.0769
gpt45,aoa,caution,10,4.77,0.1761
gpt45,aoa,cease,10,5.58,0.1376
gpt45,aoa,ceiling,10,2.95,0.0705
gpt45,aoa,chauffeur,10,6.16,0.0644
gpt45,aoa,chest,10,2.84,0.0764
gpt45,aoa,chew,10,2.27,0.0301
gpt45,aoa,child,10,1.8,0.068
gpt45,aoa,chord,10,5.36,0.0404
gpt45,aoa,circuit,10,5.75,0.0845
gpt45,aoa,city,10,2.59,0.0869
gpt45,aoa,class,10,3.07,0.0501
gpt45,aoa,clergy,10,6.15,0.1225
gpt45,aoa,cloak,10,4.64,0.0544
gpt45,aoa,closure,10,5.58,0.2056
gpt45,aoa,clover,10,4.39,0.0969
gpt45,aoa,coffin,10,4.85,0.1485
gpt45,aoa,column,10,4.89,0.0469
gpt45,aoa,comb,10,2.47,0.0121
gpt45,aoa,compass,10,4.66,0.1404
gpt45,aoa,complex,10,5.33,0.2421
gpt45,aoa,concept,10,5.7,0.168
gpt45,aoa,consent,10,5.58,0.1776
gpt45,aoa,console,10,5.55,0.0745
gpt45,aoa,contempt,10,5.97,0.0061
gpt45,aoa,context,10,5.9,0.13
gpt45,aoa,contract,10,5.4,0.046
gpt45,aoa,costume,10,3.46,0.1124
gpt45,aoa,cottage,10,4.23,0.1041
gpt45,aoa,cotton,10,3.49,0.0949
gpt45,aoa,couch,10,2.74,0.0384
gpt45,aoa,cough,10,2.6,0.082
gpt45,aoa,county,10,4.96,0.1564
gpt45,aoa,courage,10,4.53,0.1921
gpt45,aoa,crab,10,3.14,0.1384
gpt45,aoa,cricket,10,3.85,0.1945
gpt45,aoa,crisis,10,5.45,0.0505
gpt45,aoa,crude,10,5.53,0.0881
gpt45,aoa,crystal,10,4.44,0.0544
gpt45,aoa,cuddle,10,2.72,0.2016
gpt45,aoa,culture,10,5.26,0.4104
gpt45,aoa,cure,10,3.9,0.106
gpt45,aoa,curtain,10,3.08,0.1596
gpt45,aoa,cushion,10,3.47,0.1161
gpt45,aoa,dance,10,2.36,0.0644
gpt45,aoa,dandruff,10,5.04,0.3044
gpt45,aoa,dare,10,4.08,0.1496
gpt45,aoa,date,10,3.39,0.0449
gpt45,aoa,delight,10,4.1,0.14
gpt45,aoa,desert,10,3.64,0.0984
gpt45,aoa,despair,10,5.75,0.0885
gpt45,aoa,dessert,10,3.12,0.0916
gpt45,aoa,device,10,4.53,0.0961
gpt45,aoa,dinner,10,2.26,0.0484
gpt45,aoa,disgust,10,3.83,0.2201
gpt45,aoa,doctor,10,2.37,0.0501
gpt45,aoa,doctrine,10,6.37,0.0301
gpt45,aoa,donkey,10,2.66,0.0624
gpt45,aoa,doom,10,5.48,0.1456
gpt45,aoa,doubt,10,4.22,0.1196
gpt45,aoa,dread,10,5.09,0.1029
gpt45,aoa,duty,10,4.25,0.0905
gpt45,aoa,ease,10,4.25,0.1885
gpt45,aoa,employ,10,5.54,0.0524
gpt45,aoa,escort,10,5.62,0.0296
gpt45,aoa,essence,10,5.81,0.0549
gpt45,aoa,excuse,10,3.71,0.2629
gpt45,aoa,faith,10,4.54,0.2464
gpt45,aoa,fame,10,4.56,0.0504
gpt45,aoa,farewell,10,4.61,0.2009
gpt45,aoa,fault,10,4.38,0.2256
gpt45,aoa,feat,10,5.74,0.1164
gpt45,aoa,fiction,10,5.25,0.1405
gpt45,aoa,figment,10,6.4,0.044
gpt45,aoa,fire,10,2.02,0.0396
gpt45,aoa,flea,10,3.88,0.2256
gpt45,aoa,fleet,10,5.36,0.0544
gpt45,aoa,flourish,10,5.92,0.0916
gpt45,aoa,food,10,1.6,0.046
gpt45,aoa,forehead,10,2.92,0.0356
gpt45,aoa,forge,10,5.89,0.0609
gpt45,aoa,fortress,10,5.1,0.164
gpt45,aoa,fraud,10,5.84,0.0584
gpt45,aoa,freedom,10,4.53,0.1961
gpt45,aoa,function,10,5.46,0.0924
gpt45,aoa,fuss,10,3.74,0.1764
gpt45,aoa,gain,10,4.66,0.0984
gpt45,aoa,game,10,2.14,0.0424
gpt45,aoa,garbage,10,2.88,0.0536
gpt45,aoa,giraffe,10,3.02,0.0856
gpt45,aoa,gist,10,6.17,0.0421
gpt45,aoa,glacier,10,5.52,0.1836
gpt45,aoa,glee,10,5.23,0.3301
gpt45,aoa,gloom,10,5.02,0.1036
gpt45,aoa,goose,10,2.82,0.0656
gpt45,aoa,greed,10,4.92,0.1236
gpt45,aoa,grind,10,4.5,0.052
gpt45,aoa,guilt,10,4.66,0.0844
gpt45,aoa,guitar,10,3.32,0.0316
gpt45,aoa,hall,10,3.07,0.0901
gpt45,aoa,ham,10,2.78,0.0636
gpt45,aoa,hammock,10,4.36,0.0524
gpt45,aoa,hand,10,1.43,0.0221
gpt45,aoa,handle,10,3.17,0.2161
gpt45,aoa,harvest,10,4.55,0.1505
gpt45,aoa,hate,10,2.96,0.0444
gpt45,aoa,head,10,1.58,0.0276
gpt45,aoa,health,10,3.6,0.112
gpt45,aoa,heaven,10,3.58,0.0576
gpt45,aoa,hit,10,2.28,0.0636
gpt45,aoa,honey,10,2.63,0.0321
gpt45,aoa,hope,10,2.77,0.1221
gpt45,aoa,hostage,10,5.8,0.234
gpt45,aoa,hostess,10,5.09,0.2789
gpt45,aoa,hurdle,10,5.25,0.0585
gpt45,aoa,husband,10,2.99,0.1249
gpt45,aoa,impress,10,4.66,0.1664
gpt45,aoa,incest,10,6.52,0.0276
gpt45,aoa,island,10,3.53,0.0481
gpt45,aoa,issue,10,4.79,0.1729
gpt45,aoa,item,10,4.57,0.1901
gpt45,aoa,jacket,10,2.72,0.0836
gpt45,aoa,jewel,10,3.97,0.0801
gpt45,aoa,jungle,10,3.39,0.0629
gpt45,aoa,junk,10,3.6,0.11
gpt45,aoa,justice,10,5.01,0.1849
gpt45,aoa,kill,10,3.34,0.1624
gpt45,aoa,knock,10,2.61,0.0689
gpt45,aoa,knowledge,10,4.51,0.2509
gpt45,aoa,lace,10,3.96,0.2844
gpt45,aoa,ladder,10,2.57,0.0201
gpt45,aoa,launch,10,4.73,0.2301
gpt45,aoa,leaf,10,2.24,0.0544
gpt45,aoa,leisure,10,5.62,0.1136
gpt45,aoa,leopard,10,3.77,0.1561
gpt45,aoa,lettuce,10,3.1,0.102
gpt45,aoa,limit,10,4.28,0.0936
gpt45,aoa,line,10,2.42,0.0656
gpt45,aoa,lobster,10,4.34,0.0944
gpt45,aoa,luck,10,3.43,0.1181
gpt45,aoa,luggage,10,4.51,0.0809
gpt45,aoa,lumber,10,5.28,0.1616
gpt45,aoa,lunch,10,2.37,0.0561
gpt45,aoa,lust,10,5.87,0.0461
gpt45,aoa,malice,10,6.08,0.0636
gpt45,aoa,mammal,10,5.17,0.3061
gpt45,aoa,mansion,10,4.26,0.0704
gpt45,aoa,marvel,10,5.41,0.1509
gpt45,aoa,mate,10,3.56,0.1904
gpt45,aoa,melon,10,3.28,0.0996
gpt45,aoa,menace,10,5.64,0.1284
gpt45,aoa,merchant,10,5.5,0.066
gpt45,aoa,message,10,3.44,0.0724
gpt45,aoa,metal,10,3.5,0.048
gpt45,aoa,methane,10,6.48,0.0336
gpt45,aoa,method,10,4.99,0.0849
gpt45,aoa,midst,10,5.58,0.2436
gpt45,aoa,mirror,10,2.58,0.0576
gpt45,aoa,mischief,10,4.64,0.2064
gpt45,aoa,mistress,10,5.67,0.0721
gpt45,aoa,model,10,4.08,0.2176
gpt45,aoa,moisture,10,5.04,0.1904
gpt45,aoa,moment,10,3.67,0.0801
gpt45,aoa,monarch,10,5.84,0.0624
gpt45,aoa,monkey,10,2.21,0.1189
gpt45,aoa,monster,10,2.83,0.1081
gpt45,aoa,mood,10,3.99,0.0709
gpt45,aoa,morsel,10,5.65,0.1465
gpt45,aoa,moth,10,3.87,0.0681
gpt45,aoa,mother,10,1.11,0.0149
gpt45,aoa,mug,10,2.99,0.1169
gpt45,aoa,mural,10,5.8,0.062
gpt45,aoa,myth,10,5.66,0.1064
gpt45,aoa,necklace,10,3.46,0.0784
gpt45,aoa,nectar,10,4.78,0.1456
gpt45,aoa,needle,10,3.05,0.0965
gpt45,aoa,neglect,10,5.3,0.158
gpt45,aoa,neutral,10,5.59,0.0609
gpt45,aoa,notion,10,5.55,0.0565
gpt45,aoa,nuisance,10,5.33,0.0621
gpt45,aoa,nurture,10,5.97,0.0541
gpt45,aoa,office,10,3.44,0.1364
gpt45,aoa,ordeal,10,5.85,0.0385
gpt45,aoa,outrage,10,5.59,0.0729
gpt45,aoa,packet,10,4.22,0.1416
gpt45,aoa,palace,10,4.01,0.1689
gpt45,aoa,pamphlet,10,5.87,0.1441
gpt45,aoa,panther,10,4.47,0.1221
gpt45,aoa,parade,10,3.66,0.1584
gpt45,aoa,parrot,10,3.17,0.0961
gpt45,aoa,passage,10,4.59,0.1249
gpt45,aoa,passion,10,4.92,0.1376
gpt45,aoa,pause,10,4.01,0.0689
gpt45,aoa,pelvis,10,5.71,0.1529
gpt45,aoa,pension,10,6.15,0.0785
gpt45,aoa,people,10,2.08,0.0616
gpt45,aoa,person,10,2.3,0.16
gpt45,aoa,pest,10,4.19,0.0189
gpt45,aoa,phantom,10,5.52,0.1656
gpt45,aoa,phase,10,5.23,0.0501
gpt45,aoa,pheasant,10,5.86,0.0604
gpt45,aoa,picket,10,5.82,0.1196
gpt45,aoa,picture,10,2.14,0.0284
gpt45,aoa,piece,10,2.92,0.1136
gpt45,aoa,pillow,10,2.46,0.0184
gpt45,aoa,pint,10,4.88,0.2276
gpt45,aoa,pity,10,4.53,0.1521
gpt45,aoa,plasma,10,6.4,0.036
gpt45,aoa,plea,10,5.66,0.0744
gpt45,aoa,pleasure,10,4.03,0.1381
gpt45,aoa,police,10,2.87,0.0661
gpt45,aoa,portrait,10,4.72,0.2056
gpt45,aoa,power,10,3.35,0.1685
gpt45,aoa,prestige,10,6.27,0.0501
gpt45,aoa,pride,10,4.34,0.0764
gpt45,aoa,prince,10,3.3,0.05
gpt45,aoa,princess,10,2.92,0.0356
gpt45,aoa,prison,10,3.93,0.1761
gpt45,aoa,product,10,4.87,0.1941
gpt45,aoa,progress,10,4.64,0.2124
gpt45,aoa,project,10,4.62,0.0816
gpt45,aoa,pumpkin,10,2.89,0.0469
gpt45,aoa,punch,10,3.16,0.1344
gpt45,aoa,pupil,10,4.37,0.1801
gpt45,aoa,puzzle,10,3.33,0.0701
gpt45,aoa,python,10,5.71,0.1189
gpt45,aoa,rain,10,1.88,0.0616
gpt45,aoa,rattle,10,2.45,0.0485
gpt45,aoa,reason,10,4.3,0.382
gpt45,aoa,recall,10,4.56,0.2704
gpt45,aoa,reject,10,4.86,0.1924
gpt45,aoa,report,10,4.31,0.2269
gpt45,aoa,reptile,10,4.63,0.1561
gpt45,aoa,resort,10,5.13,0.1221
gpt45,aoa,respect,10,4.1,0.102
gpt45,aoa,risk,10,4.68,0.2616
gpt45,aoa,role,10,4.7,0.094
gpt45,aoa,romance,10,5.18,0.1456
gpt45,aoa,rubble,10,5.56,0.0544
gpt45,aoa,ruffle,10,5.29,0.0629
gpt45,aoa,saloon,10,5.67,0.1321
gpt45,aoa,sandwich,10,2.45,0.0865
gpt45,aoa,scalpel,10,6.44,0.0664
gpt45,aoa,script,10,5.43,0.0961
gpt45,aoa,seed,10,2.85,0.0745
