source,variable,word,n,m,sd
gpt35,aoa,affair,10,4.9,0.751295
gpt35,aoa,aisle,10,4.34,0.691536
gpt35,aoa,anchor,10,4.61,0.67897
gpt35,aoa,anger,10,4.19,0.886253
gpt35,aoa,ant,9,3.3,0.331662
gpt35,aoa,applause,10,4.47,0.826035
gpt35,aoa,apple,10,2.95,0.814112
gpt35,aoa,apron,10,4.33,0.601941
gpt35,aoa,arson,10,5.91,0.460555
gpt35,aoa,art,10,3.64,0.45753
gpt35,aoa,artist,10,4.42,0.780028
gpt35,aoa,aspect,10,4.61,0.674043
gpt35,aoa,asthma,10,5.55,0.723034
gpt35,aoa,attempt,10,4.76,0.607728
gpt35,aoa,author,10,5.04,0.927601
gpt35,aoa,baby,10,2.27,0.797287
gpt35,aoa,balloon,10,3.59,0.691938
gpt35,aoa,ban,10,4.28,0.739068
gpt35,aoa,bandage,10,4.46,0.975477
gpt35,aoa,basket,10,3.91,0.706242
gpt35,aoa,battle,10,4.33,0.683211
gpt35,aoa,bead,10,3.75,0.75902
gpt35,aoa,beer,10,4.69,0.855635
gpt35,aoa,beggar,10,4.53,0.627252
gpt35,aoa,belief,10,4.45,0.550252
gpt35,aoa,bitch,10,4.84,0.571936
gpt35,aoa,blame,10,4.34,0.641526
gpt35,aoa,bliss,10,4.68,0.456557
gpt35,aoa,blister,10,4.67,0.585093
gpt35,aoa,blood,10,4.11,0.817109
gpt35,aoa,blouse,10,4.39,0.515213
gpt35,aoa,boast,10,4.67,0.405654
gpt35,aoa,bondage,10,5.14,0.758947
gpt35,aoa,bonnet,10,4.2,0.625389
gpt35,aoa,bounce,10,3.87,0.359166
gpt35,aoa,bowel,10,5.14,0.76478
gpt35,aoa,bowl,10,3.78,0.532917
gpt35,aoa,bracket,10,4.81,0.682235
gpt35,aoa,breakfast,10,3.87,0.607454
gpt35,aoa,breast,10,4.3,0.719568
gpt35,aoa,bulge,10,4.83,1.487765
gpt35,aoa,button,10,3.76,0.830261
gpt35,aoa,camp,10,3.97,0.637791
gpt35,aoa,cancer,10,5.28,0.874071
gpt35,aoa,candle,10,3.95,0.283823
gpt35,aoa,candy,10,3.44,0.442719
gpt35,aoa,canoe,10,4.28,0.686052
gpt35,aoa,carcass,10,5.3,0.505525
gpt35,aoa,caress,10,4.89,0.648845
gpt35,aoa,carpet,10,4.01,0.542525
gpt35,aoa,carriage,10,4.92,0.505085
gpt35,aoa,castle,10,4.66,0.686699
gpt35,aoa,cattle,10,4.22,1.047537
gpt35,aoa,caution,10,4.7,0.63421
gpt35,aoa,cease,10,4.94,0.566078
gpt35,aoa,ceiling,10,4.17,0.802842
gpt35,aoa,chauffeur,10,5.63,0.910494
gpt35,aoa,chest,10,3.94,0.904556
gpt35,aoa,chew,10,3.72,0.582714
gpt35,aoa,child,10,2.03,0.34657
gpt35,aoa,chord,10,4.39,0.568526
gpt35,aoa,circuit,10,4.89,0.481779
gpt35,aoa,city,10,3.63,0.623699
gpt35,aoa,class,10,3.82,0.630344
gpt35,aoa,clergy,10,5.08,0.651153
gpt35,aoa,cloak,10,4.34,0.93238
gpt35,aoa,closure,10,5.06,0.613188
gpt35,aoa,clover,10,3.86,0.494862
gpt35,aoa,coffin,10,5.21,0.876166
gpt35,aoa,column,10,4.59,0.923099
gpt35,aoa,comb,10,3.26,0.76768
gpt35,aoa,compass,10,4.68,0.750999
gpt35,aoa,complex,10,5.25,0.653622
gpt35,aoa,concept,10,4.58,0.687669
gpt35,aoa,consent,10,4.59,1.008244
gpt35,aoa,console,10,5.44,0.683455
gpt35,aoa,contempt,10,5.43,0.731893
gpt35,aoa,context,10,4.43,0.66675
gpt35,aoa,contract,10,4.7,0.459468
gpt35,aoa,costume,10,4.7,0.860233
gpt35,aoa,cottage,10,4.33,0.565784
gpt35,aoa,cotton,10,3.76,0.620394
gpt35,aoa,couch,10,3.92,0.92111
gpt35,aoa,cough,10,4.41,0.532186
gpt35,aoa,county,10,4.84,0.365756
gpt35,aoa,courage,10,4.77,0.754321
gpt35,aoa,crab,10,3.99,0.672392
gpt35,aoa,cricket,10,4.03,0.875658
gpt35,aoa,crisis,10,5.48,1.27349
gpt35,aoa,crude,10,4.56,0.571936
gpt35,aoa,crystal,10,4.14,1.157776
gpt35,aoa,cuddle,10,4.7,1.097472
gpt35,aoa,culture,10,5.25,0.566176
gpt35,aoa,cure,10,4.08,1.106345
gpt35,aoa,curtain,10,4.47,0.439823
gpt35,aoa,cushion,10,4.51,0.472464
gpt35,aoa,dance,10,3.94,0.70899
gpt35,aoa,dandruff,10,5.34,0.681828
gpt35,aoa,dare,10,3.9,0.628932
gpt35,aoa,date,10,3.67,0.557873
gpt35,aoa,delight,10,4,1.152774
gpt35,aoa,desert,10,4.17,0.618331
gpt35,aoa,despair,10,5.38,0.799722
gpt35,aoa,dessert,10,4.38,0.925923
gpt35,aoa,device,10,4.3,0.42947
gpt35,aoa,dinner,10,3.79,1.011544
gpt35,aoa,disgust,10,5.17,0.76891
gpt35,aoa,doctor,10,3.94,0.78344
gpt35,aoa,doctrine,10,5.35,0.898455
gpt35,aoa,donkey,10,3.81,0.536346
gpt35,aoa,doom,10,4.82,0.612463
gpt35,aoa,doubt,10,3.99,1.046104
gpt35,aoa,dread,10,4.99,0.813019
gpt35,aoa,duty,10,4.03,0.834066
gpt35,aoa,ease,10,4.22,0.441714
gpt35,aoa,employ,10,4.88,0.625033
gpt35,aoa,escort,10,5.1,0.54365
gpt35,aoa,essence,10,5,0.557773
gpt35,aoa,excuse,10,4.24,0.478888
gpt35,aoa,faith,10,4.33,0.400139
gpt35,aoa,fame,10,4.32,0.541192
gpt35,aoa,farewell,10,5.06,0.577735
gpt35,aoa,fault,10,4.51,0.578216
gpt35,aoa,feat,10,4.34,0.527468
gpt35,aoa,fiction,10,4.59,0.532186
gpt35,aoa,figment,10,5.37,0.748406
gpt35,aoa,fire,10,3.39,0.799236
gpt35,aoa,flea,10,4.58,0.944928
gpt35,aoa,fleet,10,4.58,0.625033
gpt35,aoa,flourish,10,5.59,0.636745
gpt35,aoa,food,10,2.73,0.579367
gpt35,aoa,forehead,10,4.35,0.790569
gpt35,aoa,forge,10,4.75,0.726101
gpt35,aoa,fortress,10,5.1,0.90185
gpt35,aoa,fraud,10,5.46,0.751591
gpt35,aoa,freedom,10,4.68,0.936661
gpt35,aoa,function,10,4.89,0.560654
gpt35,aoa,fuss,10,4.37,0.84334
gpt35,aoa,gain,10,3.85,0.677003
gpt35,aoa,game,10,3.29,0.834599
gpt35,aoa,garbage,10,4.58,0.70206
gpt35,aoa,giraffe,10,4.47,0.961538
gpt35,aoa,gist,10,4.72,0.651153
gpt35,aoa,glacier,10,4.81,1.17516
gpt35,aoa,glee,10,4.24,0.602218
gpt35,aoa,gloom,10,4.68,0.769993
gpt35,aoa,goose,10,3.49,0.527994
gpt35,aoa,greed,10,4.47,1.340854
gpt35,aoa,grind,10,4.46,0.60037
gpt35,aoa,guilt,10,4.88,0.56921
gpt35,aoa,guitar,10,4.46,0.77057
gpt35,aoa,hall,10,3.79,0.890006
gpt35,aoa,ham,10,3.4,0.812404
gpt35,aoa,hammock,10,5.05,0.632895
gpt35,aoa,hand,10,2.68,0.487169
gpt35,aoa,handle,10,4.11,0.276687
gpt35,aoa,harvest,10,4.48,0.775743
gpt35,aoa,hate,10,4.31,0.894986
gpt35,aoa,head,10,3.28,0.640833
gpt35,aoa,health,10,3.7,0.746845
gpt35,aoa,heaven,10,4.28,0.833733
gpt35,aoa,hit,10,3.22,0.823003
gpt35,aoa,honey,10,3.56,0.638053
gpt35,aoa,hope,10,3.28,0.689283
gpt35,aoa,hostage,10,5.27,0.725795
gpt35,aoa,hostess,10,4.93,1.25171
gpt35,aoa,hurdle,10,4.46,0.575809
gpt35,aoa,husband,10,4.77,0.958065
gpt35,aoa,impress,10,4.7,0.590668
gpt35,aoa,incest,10,6.42,0.575036
gpt35,aoa,island,10,3.92,0.80111
gpt35,aoa,issue,10,4.28,0.695701
gpt35,aoa,item,10,3.58,0.80111
gpt35,aoa,jacket,10,3.98,0.694102
gpt35,aoa,jewel,10,4.41,0.687103
gpt35,aoa,jungle,10,4.43,0.676675
gpt35,aoa,junk,10,4.57,0.501221
gpt35,aoa,justice,10,4.35,0.883491
gpt35,aoa,kill,10,3.78,1.008629
gpt35,aoa,knock,10,3.93,0.623699
gpt35,aoa,knowledge,10,4.94,0.909456
gpt35,aoa,lace,10,4.18,0.428952
gpt35,aoa,ladder,10,3.8,0.418994
gpt35,aoa,launch,10,4.81,0.381372
gpt35,aoa,leaf,10,3.38,0.470933
gpt35,aoa,leisure,10,4.86,0.822192
gpt35,aoa,leopard,10,5.03,0.505635
gpt35,aoa,lettuce,10,3.98,0.541192
gpt35,aoa,limit,10,4.09,0.856933
gpt35,aoa,line,10,3.18,0.575036
gpt35,aoa,lobster,10,5.1,0.924962
gpt35,aoa,luck,10,3.75,0.818196
gpt35,aoa,luggage,10,4.9,0.915302
gpt35,aoa,lumber,10,4.89,0.585852
gpt35,aoa,lunch,10,3.9,0.790218
gpt35,aoa,lust,10,4.9,0.319722
gpt35,aoa,malice,10,5.22,0.739068
gpt35,aoa,mammal,10,4.23,0.764562
gpt35,aoa,mansion,10,4.7,0.841955
gpt35,aoa,marvel,10,4.64,0.80305
gpt35,aoa,mate,10,3.88,0.695701
gpt35,aoa,melon,10,3.95,0.888507
gpt35,aoa,menace,10,5.09,0.696738
gpt35,aoa,merchant,10,4.85,0.380789
gpt35,aoa,message,10,3.95,0.818196
gpt35,aoa,metal,10,3.62,0.46619
gpt35,aoa,methane,10,5.52,0.575036
gpt35,aoa,method,10,3.88,0.954289
gpt35,aoa,midst,10,4.54,0.812677
gpt35,aoa,mirror,10,4.01,0.641959
gpt35,aoa,mischief,10,4.8,0.541603
gpt35,aoa,mistress,10,5.38,0.706792
gpt35,aoa,model,10,4.56,0.554176
gpt35,aoa,moisture,10,5.08,0.444222
gpt35,aoa,moment,10,3.99,0.698331
gpt35,aoa,monarch,10,5.07,0.442342
gpt35,aoa,monkey,10,3.59,0.611828
gpt35,aoa,monster,10,4.9,0.476095
gpt35,aoa,mood,10,4.1,0.516398
gpt35,aoa,morsel,10,4.7,0.703957
gpt35,aoa,moth,10,3.96,0.605897
gpt35,aoa,mother,10,2.7,0.927362
gpt35,aoa,mug,10,3.55,0.406202
gpt35,aoa,mural,10,4.88,0.576965
gpt35,aoa,myth,10,4.41,0.502107
gpt35,aoa,necklace,10,4.76,0.287518
gpt35,aoa,nectar,10,5.39,0.556677
gpt35,aoa,needle,10,4.4,0.848528
gpt35,aoa,neglect,10,4.97,0.90805
gpt35,aoa,neutral,10,4.57,0.700872
gpt35,aoa,notion,10,4.05,0.632895
gpt35,aoa,nuisance,10,4.94,0.550151
gpt35,aoa,nurture,10,4.86,1.250067
gpt35,aoa,office,10,4.09,0.674043
gpt35,aoa,ordeal,10,5.17,0.400139
gpt35,aoa,outrage,10,4.88,0.520256
gpt35,aoa,packet,10,4.42,0.671317
gpt35,aoa,palace,10,4.85,0.811377
gpt35,aoa,pamphlet,10,5.13,0.736433
gpt35,aoa,panther,10,4.69,0.540473
gpt35,aoa,parade,10,4.41,0.611828
gpt35,aoa,parrot,10,3.92,0.743565
gpt35,aoa,passage,10,4.47,0.533437
gpt35,aoa,passion,10,4.01,1.112005
gpt35,aoa,pause,10,4.3,0.57735
gpt35,aoa,pelvis,10,5.66,0.705849
gpt35,aoa,pension,10,5.25,0.544161
gpt35,aoa,people,10,3.52,1.169805
gpt35,aoa,person,10,3.36,0.999111
gpt35,aoa,pest,10,4.04,0.333999
gpt35,aoa,phantom,10,4.84,0.656929
gpt35,aoa,phase,10,4.46,0.596657
gpt35,aoa,pheasant,10,5,0.57735
gpt35,aoa,picket,10,5.03,0.864163
gpt35,aoa,picture,10,3.58,0.858681
gpt35,aoa,piece,10,3.88,0.65963
gpt35,aoa,pillow,10,4.04,0.794705
gpt35,aoa,pint,10,3.98,0.761285
gpt35,aoa,pity,10,4.26,0.554176
gpt35,aoa,plasma,10,5.18,0.799722
gpt35,aoa,plea,10,4.28,0.532917
gpt35,aoa,pleasure,10,4.77,0.594512
gpt35,aoa,police,10,4.36,1.052193
gpt35,aoa,portrait,10,4.5,0.621825
gpt35,aoa,power,10,3.92,0.745058
gpt35,aoa,prestige,10,5.3,0.760117
gpt35,aoa,pride,10,4.11,0.546606
gpt35,aoa,prince,10,4.66,0.591044
gpt35,aoa,princess,10,4.53,0.758727
gpt35,aoa,prison,10,4.9,0.343188
gpt35,aoa,product,10,4.4,0.926163
gpt35,aoa,progress,10,4.8,0.839312
gpt35,aoa,project,10,4.47,0.581282
gpt35,aoa,pumpkin,10,4.59,0.741545
gpt35,aoa,punch,10,4.2,0.5696
gpt35,aoa,pupil,10,3.51,1.013739
gpt35,aoa,puzzle,10,4.48,0.555378
gpt35,aoa,python,10,5.19,0.430633
gpt35,aoa,rain,10,3.36,0.450185
gpt35,aoa,rattle,10,4.47,0.707185
gpt35,aoa,reason,10,4.52,0.919903
gpt35,aoa,recall,10,4.79,0.409471
gpt35,aoa,reject,10,4.4,0.413656
gpt35,aoa,report,10,4.34,0.539959
gpt35,aoa,reptile,10,5.24,0.889694
gpt35,aoa,resort,10,4.95,0.851469
gpt35,aoa,respect,10,3.98,0.758361
gpt35,aoa,risk,10,4.19,0.795054
gpt35,aoa,role,10,4.3,0.444722
gpt35,aoa,romance,10,4.54,0.686699
gpt35,aoa,rubble,10,5.08,0.580804
gpt35,aoa,ruffle,10,4.85,0.753142
gpt35,aoa,saloon,10,5.17,0.699285
gpt35,aoa,sandwich,10,3.88,0.41042
gpt35,aoa,scalpel,10,5.53,0.758727
gpt35,aoa,script,10,4.59,0.583952
gpt35,aoa,seed,10,3.35,0.604152
gpt35,aoa,sentence,10,4.65,0.75902
gpt35,aoa,service,10,4.2,0.788811
gpt35,aoa,settle,10,4.41,0.583952
gpt35,aoa,shaft,10,4.72,0.775743
gpt35,aoa,shame,10,4.48,0.887944
gpt35,aoa,shark,10,4.3,0.454606
gpt35,aoa,shirt,10,3.73,0.705612
gpt35,aoa,shrug,10,4.3,0.804156
gpt35,aoa,signal,10,4.26,0.779173
gpt35,aoa,sin,10,4.24,0.93832
gpt35,aoa,sister,10,3.25,0.810007
gpt35,aoa,slave,10,4.89,0.821178
gpt35,aoa,sleep,10,3.08,1.003106
gpt35,aoa,slope,10,4.51,1.437938
gpt35,aoa,slum,10,4.72,0.493964
gpt35,aoa,smear,10,4.81,1.252952
gpt35,aoa,smell,10,3.46,0.685079
gpt35,aoa,snail,10,4.08,0.881665
gpt35,aoa,snort,10,4.56,1.089546
gpt35,aoa,soldier,10,4.47,0.644722
gpt35,aoa,sorrow,10,4.17,0.683211
