source,variable,word,n,m,sd
gem20,aoa,affair,10,5.7,0.292
gem20,aoa,aisle,10,4.44,0.7624
gem20,aoa,anchor,10,4.52,0.3536
gem20,aoa,anger,10,3.6,0.19
gem20,aoa,ant,10,2.05,0.0725
gem20,aoa,applause,10,5.16,0.1724
gem20,aoa,apple,10,1.73,0.0561
gem20,aoa,apron,10,3.25,0.2625
gem20,aoa,arson,10,6.25,0.6125
gem20,aoa,art,10,3.2,0.16
gem20,aoa,artist,10,4.6,0.234
gem20,aoa,aspect,10,5.54,0.1644
gem20,aoa,asthma,10,5.56,0.3064
gem20,aoa,attempt,10,4.31,0.4169
gem20,aoa,author,10,5.39,0.0889
gem20,aoa,baby,10,1.23,0.0561
gem20,aoa,balloon,10,2.51,0.0909
gem20,aoa,ban,10,4.36,0.6204
gem20,aoa,bandage,10,3.58,0.1956
gem20,aoa,basket,10,2.36,0.1664
gem20,aoa,battle,10,4.25,0.2125
gem20,aoa,bead,10,2.45,0.1725
gem20,aoa,beer,10,3.2,0.086
gem20,aoa,beggar,10,4.59,0.2829
gem20,aoa,belief,10,5.09,0.1449
gem20,aoa,bitch,10,4.15,0.7905
gem20,aoa,blame,10,4.2,0.21
gem20,aoa,bliss,10,5.59,0.1429
gem20,aoa,blister,10,3.95,0.1225
gem20,aoa,blood,10,2.32,0.2216
gem20,aoa,blouse,10,3.63,0.7721
gem20,aoa,boast,10,4.77,0.2961
gem20,aoa,bondage,10,6.52,0.1036
gem20,aoa,bonnet,10,4.31,0.5849
gem20,aoa,bounce,10,2.85,0.1945
gem20,aoa,bowel,10,5.45,0.5725
gem20,aoa,bowl,10,2.14,0.1464
gem20,aoa,bracket,10,5.41,0.2549
gem20,aoa,breakfast,10,2.58,0.0736
gem20,aoa,breast,10,2.9,0.59
gem20,aoa,bulge,10,4.58,0.3896
gem20,aoa,button,10,2.04,0.0244
gem20,aoa,camp,10,2.81,0.1649
gem20,aoa,cancer,10,5.63,0.5221
gem20,aoa,candle,10,3.06,0.3144
gem20,aoa,candy,10,2.16,0.0604
gem20,aoa,canoe,10,4.2,0.232
gem20,aoa,carcass,10,6.05,0.3085
gem20,aoa,caress,10,5.32,0.2196
gem20,aoa,carpet,10,2.68,0.1496
gem20,aoa,carriage,10,4.57,0.5641
gem20,aoa,castle,10,4.31,0.3149
